id,name,location_id,role,faction,disposition,layer,description,gives_item,gives_quest,killed_flag,recruited_flag,source_page,notes
jasmine,Jasmine,silt_sea_summoning,preserver,neutral,neutral,O,9th-level human preserver. Came to retrieve statue piece for Wyrmias.,jasmines_spellbook;statue_piece_b,,jasmine_killed,,C-75,
arant,Arant,silt_sea_summoning,slaver,evil,hostile,O,Holds captured gladiators from Gedron and Cedrilte. Has second statue piece.,statue_piece_b,,arant_killed,,C-75,
cragg,Cragg,palace_ruins,greater_shadow,korbnor_dead,neutral,O,Former advisor turned greater shadow. Killed the king. Has Genie bottle.,genie_bottle,return_body,cragg_killed,,C-79,Buried thousands of years
king_dwyer,King Dwyer,palace_ruins,spirit,korbnor_dead,hostile,O,Spirit of former king. On the dais. Stepping on dais angers him.,,,,,C-79,
genie,The Genie,palace_ruins,genie,neutral,allied,O,Grants three wishes. Critical late-game asset.,quicksilver_glove,three_wishes,,,C-79,Provides Genie's Warning new content
psurlons,Psurlons,palace_ruins,monster,evil,hostile,O,Guard the ruins. 30% magic resistant. Require +1 weapons.,,,,,C-79,
hermit_defiler,Hermit Defiler,lava_rift,defiler,evil,hostile,O,Found Lava Rift began summoning fire elementals.,,,hermit_killed,,C-83,
rift_ranger,Rift Ranger,red_sands_plateau,ranger,neutral,allied,O,Only survivor of band that drove off the lava hermit.,,,,,C-89,
notaku,Notaku,red_sands_plateau,merchant,neutral,allied,O,Elven merchant. Magical herbs and spell components. Sends quests.,derths_wand;els_shield,deliver_pith;collect_terror_bloom;mastyrial_stinger,notaku_killed,,C-89,
sage_hermit,Sage/Wise Hermit,red_sands_plateau,sage,veiled_alliance,allied,O,Wanders looking for Veiled Alliance. Identifies magic items. Gives wand and obelisk gem.,wand_of_metal_detection;obelisk_gem,,,,,C-89,
demothi,Demothi,red_sands_plateau,trainer,neutral,neutral,O,Trains mastyrials. Selling Alita requires bag of salt from Toonuu.,mastyrial_alita,,,,,C-89,
sand_druid,Sand Druid,sand_oasis,druid,neutral,neutral,O,Watches over oasis. Ensures not defiled. Gives butterfly wings.,butterfly_wings,,,,,C-93,
slaver_templar,Slaver Templar,elven_slavers,templar,drajian,hostile,O,Has whistle to summon troops.,whistle,,slaver_templar_killed,,C-95,
messenger,The Messenger,messenger_route,messenger,drajian,hostile,O,Carries notes between templar and noble. Can summon up to 4 blue slaad.,,,messenger_killed,,C-97,
hototo,Hototo's Band,messenger_route,slavers,evil,hostile,O,Slave transfer band. Can be manipulated with deception.,,,,,C-97,
dagger,Dagger's Band,messenger_route,slavers,evil,hostile,O,Slave transfer band. Can be manipulated with deception.,,,,,C-97,
nirveli,Nirveli,messenger_route,noble_slave,neutral,allied,O,Noble slave gives thanks when freed.,,,nirveli_killed,nirveli_freed,C-97,
drisana,Drisana,elven_caravan,caravan_master,elven_caravan,allied,O,Caravan master. Wants raids stopped. Acts as judge in Tobrian dispute.,,stop_raids,drisana_killed,,C-99,
larissa,Larissa,elven_caravan,seer,elven_caravan,neutral,O,Seer of minor abilities. Tells fortunes for ceramic pieces.,,,,,C-99,
kel,Kel,elven_caravan,merchant,elven_caravan,neutral,O,Mage merchant sells goods many non-magical.,arrows_1;soulcrusher;talisman_of_venom;obelisk_gem,,,,,C-99,
jark,Jark,elven_caravan,merchant,elven_caravan,allied,O,Honest merchant. Armor weapons rumors.,,,,,C-99,
tobrian,Tobrian,elven_caravan,merchant,evil,hostile,O,Wine merchant and ex-slave merchant. Tries to poison party. Talisman of venom prevents.,,,tobrian_killed,,C-99,
tidzio,Tidzio,elven_caravan,wanderer,neutral,allied,O,Halfling wanderer. Information about Gemfields.,,,,,C-99,
ylakez,Ylakez,elven_caravan,refugee,free_slaves,allied,O,Refugee whose village was burned. Information about Tectuktitlay for money.,,,,,C-99,
ketzia,Ketzia,elven_caravan,refugee,free_slaves,allied,O,Refugee whose village was burned. Information about templars for money.,,,,,C-99,
hesutu,Hesutu,elven_caravan,dwarf,neutral,neutral,O,Dwarf who lost his focus when Drajian troops destroyed his tribe. Can be given new purpose.,,find_focus,,,C-99,
ssurran_shaman,Ssurran Shaman,ssurran_ruins,shaman,ssurran,hostile,O,3rd-level cleric.,,,ssurran_shaman_killed,,C-105,
balkazar,Balkazar,wyrm_school,wyrm_keeper,wyrm,neutral,O,Receives terror extract from Notaku.,,terror_extract,balkazar_killed,,C-111,
kalinin,Kalinin,wagon_train,warrior_leader,free_villages,allied,O,Warrior leader of prisoners. Gives sword Hornblade. Allies with Teaquetzl if rescued.,hornblade,rescue_kalinin,,kalinin_allied,C-87,
kraxis,Kraxis,white_sands,commander,drajian,hostile,O,Drajian commander. Final battle antagonist.,,,kraxis_killed,,C-35,Final Battle 3
gareth,Gareth (Selucus),slave_pens,companion,free_slaves,allied,O,Half-giant gladiator. Tectuktitlay's favorite. Broke a templar's neck. Joins party.,,,,gareth_recruited,M-3,Companion
saria,Saria,slave_pens,companion,free_slaves,allied,O,Half-elf thief/preserver. Killed templar at auction. Joins party.,,,,saria_recruited,M-3,Companion
tarim,Tarim,slave_pens,companion,free_slaves,allied,O,Thri-kreen female hunter. Joins party.,,,,tarim_recruited,M-3,Companion
korval_dust,Korval Dust,shattered_spire,ancient_preserver,korval_faction,ambiguous,N,Ancient preserver. Former advisor to a Sorcerer-King. Arranged the party's circumstances partially.,,reach_archivist,,korval_recruited,NEW,Chapter 6 — Watcher in Crowd
sela,Sela,shattered_spire,defiler_to_preserver,korval_faction,allied,N,Former defiler attempting impossible conversion to preserver.,,sela_conversion,,sela_recruited,NEW,Chapter 6-8 arc
the_voice,The Voice,shattered_spire,recording,pre_cataclysm,neutral,N,Psionic recording. Last transmission of pre-cataclysm civilization.,,,,,NEW,Chapter 7
the_archivist,The Archivist,shattered_spire,personality,pre_cataclysm,ambiguous,N,Last personality of Spire's builders preserved as psionic data. Has opinions.,,grant_knowledge,,,NEW,Chapter 7
elder_pirdan,Elder Pirdan,shattered_spire,alliance_leader,veiled_alliance_defiler,hostile,N,Alliance defiler faction leader. Genuinely grieving for Athas. Wrong about the method.,,,pirdan_killed,,NEW,Chapter 7-8
