id,name,level,school,range,duration,area,saving_throw,description,source_page,notes
mirror_image,Mirror Image,2,illusion,0,3_rounds_per_level,self,none,1d4 mirror images,M-56,
protection_from_paralysis,Protection from Paralysis,2,abjuration,touch,1_round_per_level,1_creature,none,Immune to hold and paralysis,M-56,
scare,Scare,2,enchantment,10_yards,1d4_rounds+1_per_level,1_creature_per_3_levels,neg,Targets flee in panic,M-56,
stinking_cloud,Stinking Cloud,2,evocation,30_yards,1_round_per_level,20ft_cube,neg_or_save_each_round,Nauseates,M-56,
strength,Strength,2,alteration,touch,1_hour_per_level,1_creature,none,Increases STR,M-56,
web,Web,2,evocation,5_yards_per_level,2_turns_per_level,80ft_cube,half,Sticky web,M-56,
blink,Blink,3,alteration,0,1_round_per_level,self,none,Random short teleport,M-57,
dispel_magic,Dispel Magic,3,abjuration,60_yards,instant,30ft_cube,none,Removes magic effects,M-57,
fireball,Fireball,3,evocation,10_yards+10_per_level,instant,20ft_radius,half,1d6 per level,M-57,
flame_arrow,Flame Arrow,3,conjuration,30_yards,instant,arrows,half,Fiery missiles,M-57,
haste,Haste,3,alteration,60_yards,3_rounds+1_per_level,40ft_cube,none,Double speed and attack rate,M-57,
hold_person,Hold Person,3,enchantment,120_yards,2_rounds_per_level,1-3_persons,neg,Paralyzes humans/demihumans,M-57,
hold_undead,Hold Undead,3,necromancy,60_yards,1_round_per_level,1-3_undead,none,Paralyzes lesser undead,M-57,
lightning_bolt,Lightning Bolt,3,evocation,40_yards+10_per_level,instant,line_or_forked,half,1d6 per level,M-57,
melfs_minute_meteors,Melf's Minute Meteors,3,evocation,70_yards+10_per_level,1_round_per_meteor,1_target,none,Up to level meteors of 1d4+1,M-57,
minor_malison,Minor Malison,3,enchantment,30_yards,1_round_per_level,1d4_creatures,save,Targets save at penalty,M-57,
monster_summoning_1,Monster Summoning I,3,conjuration,30_yards,2_rounds+1_per_level,2-8_monsters,none,Summons 1HD monsters,M-57,
protection_from_normal_missiles,Protection from Normal Missiles,3,abjuration,touch,1_turn_per_level,1_creature,none,Immune to normal missiles,M-57,
slow,Slow,3,alteration,90_yards+10_per_level,3_rounds+1_per_level,40ft_cube,neg,Halves speed and attacks,M-57,
spirit_armor,Spirit Armor,3,necromancy,touch,3_turns,1_creature,none,Provides spectral armor,M-57,
vampiric_touch,Vampiric Touch,3,necromancy,0,instant,touch,none,Drains 1d6 per 2 levels,M-57,
charm_monster,Charm Monster,4,enchantment,60_yards,special,1_creature_or_3HD,neg,Target charmed,M-58,
confusion,Confusion,4,enchantment,80_yards,2_rounds+1_per_level,40ft_cube,save_each_round,Random behavior,M-58,
evards_black_tentacles,Evard's Black Tentacles,4,conjuration,30_yards,1_hour_per_level,30ft_square,none,Tentacles grapple foes,M-58,
fear,Fear,4,illusion,0,special,cone_60ft,neg,Targets flee in panic,M-58,
fire_shield,Fire Shield,4,evocation,0,2_rounds+1_per_level,self,none,Damages attackers,M-58,
ice_storm,Ice Storm,4,evocation,10_yards_per_level,1_round_or_special,40ft_radius,none,3d10 cold damage,M-58,
improved_invisibility,Improved Invisibility,4,illusion,touch,4_rounds+1_per_level,1_creature,none,Invisible even when attacking,M-58,
minor_globe_of_invulnerability,Minor Globe of Invulnerability,4,abjuration,0,1_round_per_level,5ft_radius_around_caster,none,Blocks 1st-3rd level spells,M-58,
minor_spell_turning,Minor Spell Turning,4,abjuration,0,3_rounds_per_level,self,none,Reflects spells back,M-58,
monster_summoning_2,Monster Summoning II,4,conjuration,40_yards,3_rounds+1_per_level,1-6_monsters,none,Summons 2HD monsters,M-58,
rainbow_pattern,Rainbow Pattern,4,alteration,10_yards,special,30ft_square,save,Mesmerizes,M-58,
solid_fog,Solid Fog,4,alteration,30_yards,1_round_per_level,20ft_cube,none,Slows movement,M-58,
stoneskin,Stoneskin,4,alteration,touch,1_day_per_level,1_creature,none,Absorbs 1d4+caster_level attacks,M-58,
turn_pebble_to_boulder,Turn Pebble to Boulder,4,alteration,30_yards,permanent,small_stone,none,Creates large stone,M-58,
wall_of_fire,Wall of Fire,4,evocation,60_yards,special,wall,half,2d6+level damage,M-58,
wall_of_ice,Wall of Ice,4,evocation,10_yards_per_level,1_turn_per_level,wall,none,Cold barrier,M-58,
chaos,Chaos,5,enchantment,5_yards_per_level,1_round_per_level,40ft_cube,save_each_round,Random behavior,M-59,
cloudkill,Cloudkill,5,evocation,10_yards,1_round_per_level,30x20x20ft_cloud,save,Toxic cloud,M-59,
cone_of_cold,Cone of Cold,5,evocation,0,instant,cone,half,1d4+1 per level,M-59,
conjure_elemental,Conjure Elemental,5,conjuration,80_yards,1_turn_per_level,16HD_elemental,none,Summons elemental,M-59,
dismissal,Dismissal,5,abjuration,10_yards,instant,1_creature,neg,Returns extraplanar to home plane,M-59,
domination,Domination,5,enchantment,10_yards_per_level,special,1_person,neg,Total mental control,M-59,
feeblemind,Feeblemind,5,enchantment,10_yards_per_level,permanent,1_creature,neg,Reduces INT/WIS to 2,M-59,
hold_monster,Hold Monster,5,enchantment,5_yards_per_level,1_round_per_level,1-4_creatures,neg,Paralyzes monsters,M-59,
lower_resistance,Lower Resistance,5,alteration,10_yards_per_level,1_turn_per_level,1_creature,none,Lowers magic resistance,M-59,
monster_summoning_3,Monster Summoning III,5,conjuration,50_yards,4_rounds+1_per_level,1-4_monsters,none,Summons 3HD monsters,M-59,
summon_shadow,Summon Shadow,5,conjuration,10_yards,1_round_per_level,1_shadow_per_3_levels,none,Summons shadows,M-59,
wall_of_force,Wall of Force,5,evocation,30_yards,1_turn+1_round_per_level,wall,none,Invisible barrier,M-59,
wall_of_stone,Wall of Stone,5,evocation,5_yards_per_level,permanent,wall,none,Creates stone wall,M-59,
