id,name,level,sphere,range,duration,area,saving_throw,description,source_page,notes
cause_critical_wounds,Cause Critical Wounds,5,necromantic,touch,permanent,1_creature,none,3d8+3 damage,M-71,
conjure_elemental_cleric,Conjure Elemental,5,elemental_all_or_one,80_yards,1_turn_per_level,8-16HD_elemental,none,Summons elemental,M-71,
cure_critical_wounds,Cure Critical Wounds,5,necromantic,touch,permanent,1_creature,none,Heals 3d8+3 HP,M-71,
deflection,Deflection,5,protection,touch,1_round_per_level,1_creature,none,Deflects missiles,M-71,
dispel_evil,Dispel Evil,5,protection,touch,1_round_per_level,1_creature,save,+7 vs evil and dismisses,M-71,
flame_strike,Flame Strike,5,combat;elemental_fire,60_yards,instant,5ft_radius_pillar,half,6d8 fire damage,M-71,
insect_plague,Insect Plague,5,animal,360_yards,1_round_per_level,180ft_radius,none,Massive insect swarm,M-71,
ironskin,Ironskin,5,protection,touch,3_rounds_per_level,1_creature,none,AC 0 and damage absorption,M-71,
quicksand,Quicksand,5,elemental_earth,30_yards_per_level,1_turn_per_level,30ft_radius,save,Pulls down,M-71,
raise_dead,Raise Dead,5,necromantic,30_yards,permanent,1_creature,none,Restores life. CANNOT raise Elves,M-71,
slay_living,Slay Living,5,necromantic,touch,instant,1_creature,save,Death or 3d8+3 damage,M-71,
wall_of_fire_cleric,Wall of Fire,5,elemental_fire,80_yards,special,wall,half,2d6+level fire damage,M-71,
